X_cadv,Y_cadv,V_cadv,a_cadv,A_cadv,V_cadv_x,V_cadv_y,TH,X_left_front,Y_left_front,X_left,Y_left,X_left_behind,Y_left_behind,X_front,Y_front,X_behind,Y_behind,X_right_front,Y_right_front,X_right,Y_right,X_right_behind,Y_right_behind,V_x_left_front,V_y_left_front,V_x_left,V_y_left,V_x_left_behind,V_y_left_behind,V_x_front,V_y_front,V_x_behind,V_y_behind,V_x_right_front,V_y_right_front,V_x_right,V_y_right,V_x_right_behind,V_y_right_behind,V,K,Q,TOT
6.110249594,61.21292292,5.56,0,0,20,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-3.592433451,-21.10556682,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-3.592433451,-21.10556682,9999,9999,9999,9999,13.84,0.433526012,6,6.954
1.079706428,63.80608687,9.41,-1.72,-0.05,-1.6,30.18,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-3.67465373,-40.76299215,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-3.67465373,-40.76299215,9999,9999,9999,9999,18.142,0.275603572,5,7.47
1.827186156,36.03407479,-6.36,-0.97,3.14,0.13,-25.74,-1,9999,9999,9999,9999,9999,9999,9999,9999,-0.975373209,4.284601664,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.975373209,4.284601664,9999,9999,9999,9999,9999,9999,21.524,0.464597658,10,7.617
1.024816411,64.81254151,9.36,-1.55,0,-0.05,30.76,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-5.588270213,-25.43437907,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-5.588270213,-25.43437907,9999,9999,9999,9999,11.995,0.16673614,2,6.112
-1.163735538,64.26501533,2.16,-4.85,2.89,0.65,-2.58,3,2.802562648,-22.23116922,9999,9999,9999,9999,-0.768735255,-8.8845629,9999,9999,-1.982903129,-13.68545184,9999,9999,9999,9999,2.802562648,-22.23116922,9999,9999,9999,9999,-0.768735255,-8.8845629,9999,9999,-1.982903129,-13.68545184,9999,9999,9999,9999,13.913,0.718752246,10,5.203
-5.850328348,55.88601379,5.56,0,0,20,0,9999,9999,9999,9999,9999,9999,9999,0.117893447,-0.161191568,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.117893447,-0.161191568,9999,9999,9999,9999,9999,9999,9999,9999,15.61,0.192184497,3,4.869
6.159642034,62.2276212,5.56,0,0,20,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,10.76333333,0.278724063,3,5.439
-3.596612338,63.44281214,5.56,0,0,20,0,9999,9999,9999,9999,9999,2.552748448,174.8391723,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2.552748448,174.8391723,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,18.77571429,0.372822035,7,9.288
4.051730151,35.27944006,-3.14,0.25,-3.12,-0.2,-10.75,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,11.7,0.427350427,5,4.659
-1.070891894,64.99095806,5.56,0,0,20,0,2,4.441783627,-43.17024359,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4.441783627,-43.17024359,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,13.75125,0.581765294,8,5.459
